VEL,D20140322,X,Y,LON,LAT,Downslope ,Local Upsl,Upslope Cu,Local Curv,Minimal Cu,Cross-Sect,Tangential,Plan Curva,Flow Line ,Aspect,General Cu,Total Curv,Slope,Maximal Cu,Longitudin,Profile Cu,Local Down,cat,twi,TRI,tpi,spi,dem_randaz,curvature,ELEVATION,COHERENCE
1.3,-2.5,496991.3354,4193348.376,14.96578385,37.88763333,-0.06347,-0.01308,-0.02649,-0.01017,-0.00128,-0.00052,-0.00046,-0.00333,-0.00002,0.17633,-0.00036,0,0.13821,0.0011,0.00015,0.00027,-0.04538,66.36383,2.16366,3.45968,-2.75236,475.56219,663.636,-0.00036,708.1,0.78
1.4,-0.1,496995.5371,4193349.14,14.96583163,37.88764023,-0.08857,-0.02953,-0.03695,-0.04401,-0.00187,-0.00172,-0.001,-0.0067,-0.00003,0.1109,-0.00181,0,0.14997,0.00097,-0.00009,0.0001,-0.08478,66.33993,11.04041,3.75779,-2.86373,-39.25404,663.367,-0.00181,708.2,0.77
-0.5,-1.1,497067.9126,4193362.295,14.96665467,37.88775904,-0.15076,0.02084,0.01646,-0.1879,-0.00523,0.00023,0.00008,0.0004,0.00004,6.23759,-0.00813,0.00002,0.19495,0.00116,-0.00836,-0.00391,-0.22169,66.1824,4.63183,5.13641,-2.55775,40.07938,661.648,-0.00813,705.7,0.75
-0.1,-2.6,497070.0231,4193362.68,14.96667867,37.88776251,-0.15076,0.02084,0.01646,-0.1879,-0.00523,0.00023,0.00008,0.0004,0.00004,6.23759,-0.00813,0.00002,0.19495,0.00116,-0.00836,-0.00391,-0.22169,66.1824,4.63183,5.13641,-2.55775,40.07938,661.648,-0.00813,705.8,0.74
0.9,0.4,496948.5539,4193342.697,14.96529734,37.88758201,-0.02208,-0.01498,-0.04616,-0.0045,-0.00053,-0.00009,-0.00014,-0.00128,-0.00001,0.20364,-0.00014,0,0.10755,0.00046,-0.00006,0.00007,-0.00564,66.57164,2.2412,2.65663,-2.33914,442.84106,665.714,-0.00014,709.9,0.7
1.2,-0.1,496949.6892,4193342.905,14.96531025,37.88758389,-0.02208,-0.01498,-0.04616,-0.0045,-0.00053,-0.00009,-0.00014,-0.00128,-0.00001,0.20364,-0.00014,0,0.10755,0.00046,-0.00006,0.00007,-0.00564,66.57164,2.2412,2.65663,-2.33914,442.84106,665.714,-0.00014,709.3,0.73
1.3,-3.8,496980.5208,4193348.508,14.96566086,37.88763449,-0.04598,-0.01563,-0.02591,0.00242,-0.00108,0.00004,-0.00016,-0.00129,-0.00002,0.17786,0.00009,0,0.12773,0.00112,0.00005,0.00021,-0.01796,66.38873,5.33806,3.14335,-2.62457,19.90273,663.9,0.00009,709.4,0.81
0.5,-4.9,496981.6719,4193348.719,14.96567395,37.88763639,-0.04598,-0.01563,-0.02591,0.00242,-0.00108,0.00004,-0.00016,-0.00129,-0.00002,0.17786,0.00009,0,0.12773,0.00112,0.00005,0.00021,-0.01796,66.38873,5.33806,3.14335,-2.62457,19.90273,663.9,0.00009,708.7,0.79
0.3,2,497013.2017,4193354.45,14.9660325,37.88768815,-0.1011,-0.03621,-0.03424,-0.05442,-0.00202,-0.00174,-0.00087,-0.00534,-0.00004,0.00573,-0.00225,0,0.16287,0.0009,-0.00051,-0.00024,-0.11661,66.33038,4.17322,4.09732,-2.81798,63.68393,663.274,-0.00225,707.9,0.75
-0.4,-3.4,497014.4513,4193354.678,14.96604671,37.88769021,-0.1011,-0.03621,-0.03424,-0.05442,-0.00202,-0.00174,-0.00087,-0.00534,-0.00004,0.00573,-0.00225,0,0.16287,0.0009,-0.00051,-0.00024,-0.11661,66.33038,4.17322,4.09732,-2.81798,63.68393,663.274,-0.00225,707.3,0.72
-2.7,-11.4,497038.5513,4193359.057,14.96632077,37.88772976,-0.1288,-0.01106,-0.00742,-0.13062,-0.00417,0.00101,0.00051,0.0029,-0.00004,6.27238,-0.0052,0.00001,0.17733,0.00157,-0.00621,-0.00298,-0.20431,66.17819,11.03796,4.67181,-3.12072,-90.86111,661.697,-0.0052,707,0.76
